Лемма	Количество вхождений	POS	Частотность
плохой	1	a 	221.6
до	1	pr	2061.1
до	1	s	0.8
книга	1	s 	413.9
тот	1	apro 	2967.1
посвящение	1	s 	5.3
а	1	conj	8198.0
а	1	intj	19.8
а	1	part	6.1
а	1	s	2.7
хороший	1	a 	471.4
и	1	conj 	35801.8
дело	1	s 	1412.1
мало	1	adv	135.8
мало	1	num	150.4
не	1	part 	18028.0
у	1	intj	1.7
у	1	pr	4306.1
я	2	spro 	12684.4
покровительство	1	s 	4.3
быть	1	v 	12160.7
если	1	conj 	1998.1
она	2	spro 	5592.4
просить	1	v 	215.9
читатель	1	s 	114.7
этот	1	apro 	5414.0
найтись	1	v 	58.8
читать	1	v 	304.4
что	1	advpro	121.2
что	1	conj	8354.0
что	1	part	2.7
что	1	spro	3810.2
для	1	pr 	3229.3
то	1	conj	902.4
то	1	part	108.7
то	1	spro	3964.4
